iter	Passed	Remaining
0	7	7981
1	15	7796
2	23	7646
3	30	7489
4	37	7482
5	45	7506
6	56	8051
7	67	8393
8	78	8637
9	89	8885
10	99	8909
11	107	8878
12	115	8799
13	124	8738
14	132	8671
15	139	8594
16	147	8520
17	154	8446
18	162	8379
19	169	8315
20	177	8260
21	187	8318
22	197	8404
23	209	8509
24	218	8538
25	228	8575
26	240	8678
27	250	8699
28	260	8722
29	272	8805
30	284	8882
31	293	8891
32	303	8895
33	313	8899
34	322	8901
35	332	8904
36	342	8905
37	354	8973
38	364	8977
39	374	8989
40	384	8987
41	395	9024
42	405	9026
43	414	9012
44	423	8983
45	431	8939
46	440	8935
47	448	8891
48	456	8861
49	464	8832
50	475	8850
51	483	8813
52	491	8773
53	498	8730
54	505	8690
55	513	8653
56	520	8619
57	528	8575
58	535	8544
59	543	8508
60	550	8478
61	559	8463
62	567	8436
63	574	8405
64	582	8377
65	589	8349
66	597	8320
67	606	8315
68	616	8318
69	624	8292
70	631	8266
71	639	8238
72	647	8222
73	655	8199
74	664	8190
75	672	8181
76	680	8157
77	687	8131
78	695	8105
79	701	8068
80	709	8048
81	716	8023
82	724	7999
83	731	7976
84	739	7963
85	747	7941
86	755	7924
87	762	7906
88	770	7883
89	777	7861
90	784	7839
91	793	7828
92	804	7849
93	812	7830
94	821	7823
95	828	7804
96	836	7785
97	843	7765
98	851	7746
99	859	7734
100	869	7735
101	876	7714
102	883	7695
103	891	7679
104	897	7652
105	904	7630
106	912	7614
107	919	7595
108	930	7608
109	938	7593
110	946	7582
111	954	7564
112	961	7550
113	969	7533
114	976	7518
115	984	7501
116	992	7486
117	999	7469
118	1008	7464
119	1017	7458
120	1025	7448
121	1030	7416
122	1038	7403
123	1046	7392
124	1053	7377
125	1061	7363
126	1071	7362
127	1079	7350
128	1087	7342
129	1094	7327
130	1103	7321
131	1110	7305
132	1118	7291
133	1126	7280
134	1133	7264
135	1141	7250
136	1148	7236
137	1159	7240
138	1167	7229
139	1175	7220
140	1183	7209
141	1190	7193
142	1197	7178
143	1207	7175
144	1216	7170
145	1223	7154
146	1230	7140
147	1237	7126
148	1245	7112
149	1252	7100
150	1261	7091
151	1269	7083
152	1277	7073
153	1285	7060
154	1292	7047
155	1299	7031
156	1307	7018
157	1314	7003
158	1322	6992
159	1329	6979
160	1336	6966
161	1344	6955
162	1352	6944
163	1357	6918
164	1364	6905
165	1371	6891
166	1379	6880
167	1385	6862
168	1393	6849
169	1400	6836
170	1408	6830
171	1416	6819
172	1426	6819
173	1437	6825
174	1448	6826
175	1459	6831
176	1470	6835
177	1484	6854
178	1493	6848
179	1500	6836
180	1508	6823
181	1515	6811
182	1523	6799
183	1532	6794
184	1540	6787
185	1547	6774
186	1556	6765
187	1564	6757
188	1572	6748
189	1580	6738
190	1589	6732
191	1597	6723
192	1606	6716
193	1614	6707
194	1621	6694
195	1629	6683
196	1637	6673
197	1645	6664
198	1653	6653
199	1660	6643
200	1669	6636
201	1677	6628
202	1685	6616
203	1695	6614
204	1705	6614
205	1717	6619
206	1727	6616
207	1738	6617
208	1746	6609
209	1754	6598
210	1761	6586
211	1771	6585
212	1784	6592
213	1791	6580
214	1799	6569
215	1807	6561
216	1815	6551
217	1822	6539
218	1831	6530
219	1838	6518
220	1845	6504
221	1852	6492
222	1861	6485
223	1870	6479
224	1878	6469
225	1885	6457
226	1892	6446
227	1900	6435
228	1908	6424
229	1915	6412
230	1922	6401
231	1935	6408
232	1945	6405
233	1954	6397
234	1962	6387
235	1970	6377
236	1977	6365
237	1985	6355
238	1992	6344
239	2000	6333
240	2008	6325
241	2017	6319
242	2026	6311
243	2033	6301
244	2041	6290
245	2048	6279
246	2057	6271
247	2065	6263
248	2075	6261
249	2085	6255
250	2110	6298
251	2133	6331
252	2146	6338
253	2155	6329
254	2163	6319
255	2170	6308
256	2178	6297
257	2185	6286
258	2193	6274
259	2200	6263
